日時,外気温度[℃],外気絶対湿度[kg/kg(DA)],応接室1_窓開閉,応接室1_在室状況,応接室1_最終空調状態,応接室1_空気温度[℃],応接室1_室相対湿度[%],応接室1_室絶対湿度[kg/kg(DA)],応接室1_室MRT[℃],応接室1_室作用温度[℃],応接室1_透過日射熱取得[W],応接室1_機器顕熱発熱[W],応接室1_照明発熱[W],応接室1_人体顕熱発熱[W],応接室1_人体潜熱発熱[W],応接室1_対流空調顕熱負荷[W],応接室1_放射空調顕熱負荷[W],応接室1_対流空調潜熱負荷[W],応接室1_家具温度[℃],応接室1_家具取得熱量[W],応接室1_家具吸収日射熱量[W],応接室1_家具絶対湿度[kg/kg(DA)],応接室1_家具取得水蒸気量[kg/s],応接室1_summarize_building_part_0_表面温度[℃],応接室1_summarize_building_part_1_表面温度[℃],応接室1_summarize_building_part_2_表面温度[℃],応接室1_summarize_building_part_3_表面温度[℃],応接室1_summarize_building_part_4_表面温度[℃],応接室1_summarize_building_part_0_等価室温[℃],応接室1_summarize_building_part_1_等価室温[℃],応接室1_summarize_building_part_2_等価室温[℃],応接室1_summarize_building_part_3_等価室温[℃],応接室1_summarize_building_part_4_等価室温[℃],応接室1_summarize_building_part_0_境界温度[℃],応接室1_summarize_building_part_1_境界温度[℃],応接室1_summarize_building_part_2_境界温度[℃],応接室1_summarize_building_part_3_境界温度[℃],応接室1_summarize_building_part_4_境界温度[℃],応接室1_summarize_building_part_0_表面放射熱流[W],応接室1_summarize_building_part_1_表面放射熱流[W],応接室1_summarize_building_part_2_表面放射熱流[W],応接室1_summarize_building_part_3_表面放射熱流[W],応接室1_summarize_building_part_4_表面放射熱流[W],応接室1_summarize_building_part_0_表面対流熱流[W],応接室1_summarize_building_part_1_表面対流熱流[W],応接室1_summarize_building_part_2_表面対流熱流[W],応接室1_summarize_building_part_3_表面対流熱流[W],応接室1_summarize_building_part_4_表面対流熱流[W]
1989-01-01 00:00:00,2.3,0.0032,0,0,0,8.98,82,0.0058,1.71,5.35,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,12.34,-660.0,0.0,0.00580,0.00000,0.71,3.76,2.70,0.78,3.31,3.85,4.88,3.29,4.25,4.25,0.80,0.97,15.69,0.80,0.97,108.68,-23.63,-78.64,74.89,-81.30,254.30,49.09,158.74,241.04,166.71
1989-01-01 01:00:00,2.6,0.0033,0,0,0,7.35,91,0.0058,1.89,4.62,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,10.13,-547.7,0.0,0.00580,0.00000,1.16,3.42,2.53,1.25,3.07,3.48,4.26,3.06,3.78,3.78,1.15,1.31,15.69,1.15,1.31,78.04,-17.81,-50.13,51.18,-61.28,190.18,36.98,121.66,179.09,125.57
1989-01-01 02:00:00,2.9,0.0032,0,0,0,7.71,89,0.0058,3.04,5.38,940.81,66.93,0.00,0.00,0.00,0.0,0.0,0.0,10.12,-473.5,470.4,0.00580,0.00000,1.76,4.23,4.82,2.15,5.01,4.66,5.28,5.80,6.37,6.37,1.45,1.61,15.69,1.45,1.61,152.01,-8.95,-140.27,87.02,-89.81,182.93,32.78,73.11,163.52,79.37
1989-01-01 03:00:00,2.8,0.0032,0,0,0,11.09,71,0.0058,5.65,8.37,3083.34,66.93,0.00,0.00,0.00,0.0,0.0,0.0,14.02,-574.9,1541.7,0.00580,0.00000,2.73,6.67,10.47,3.90,9.86,8.10,8.70,12.61,13.17,13.17,1.45,1.60,15.69,1.45,1.60,362.25,4.59,-383.61,192.36,-175.59,256.81,41.58,15.75,211.26,36.17
1989-01-01 04:00:00,2.4,0.0033,0,0,0,9.68,78,0.0058,3.92,6.80,438.81,66.93,0.00,0.00,0.00,0.0,0.0,0.0,12.59,-572.8,219.4,0.00580,0.00000,2.90,5.02,5.07,3.83,5.16,5.73,6.53,5.99,6.72,6.72,1.10,1.24,15.69,1.10,1.24,118.37,-9.53,-85.19,29.20,-52.85,208.24,43.86,116.49,171.89,132.84
1989-01-01 05:00:00,2.4,0.0033,0,0,0,8.35,85,0.0058,3.62,5.99,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,10.72,-465.1,0.0,0.00580,0.00000,3.08,4.42,3.96,3.95,4.12,5.00,5.67,4.63,5.26,5.26,1.15,1.29,15.69,1.15,1.29,59.20,-8.49,-19.28,-10.50,-20.94,161.92,37.00,111.06,129.26,124.29
1989-01-01 06:00:00,2.8,0.0033,0,0,0,7.34,91,0.0058,3.47,5.40,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,9.23,-370.6,0.0,0.00580,0.00000,3.05,4.18,3.67,3.70,3.93,4.59,5.14,4.28,4.80,4.80,1.65,1.78,15.69,1.65,1.78,45.63,-7.90,-9.25,-7.02,-21.46,131.96,29.75,92.76,106.98,100.11
1989-01-01 07:00:00,2.3,0.0032,0,0,1,22.00,40,0.0066,5.98,13.99,0.00,66.93,0.00,0.00,0.00,3608.9,0.0,594.7,14.87,1401.3,0.0,0.00646,0.00022,4.10,9.60,7.88,4.66,8.59,10.65,12.93,9.39,11.51,11.51,1.20,1.28,15.69,1.20,1.28,204.72,-40.95,-151.07,114.68,-127.38,549.84,116.67,356.58,509.19,394.00
1989-01-01 08:00:00,2.3,0.0033,0,1,1,22.00,40,0.0066,7.63,14.82,1503.59,269.10,184.84,213.00,144.00,1948.5,0.0,116.1,19.71,449.7,751.8,0.00655,0.00003,4.98,10.49,11.29,5.91,11.30,12.21,14.18,13.49,15.32,15.32,1.91,1.28,15.69,6.25,1.28,310.73,-24.39,-292.87,169.82,-163.28,522.69,108.26,270.37,472.65,314.14
1989-01-01 09:00:00,3.7,0.0033,0,1,1,22.00,41,0.0067,7.89,14.95,708.80,269.10,209.10,142.00,96.00,1150.9,0.0,0.0,21.52,94.3,354.4,0.00666,0.00004,5.85,10.76,10.27,6.80,10.68,12.17,14.14,12.19,14.03,14.03,3.97,2.32,15.69,18.76,2.32,232.29,-28.84,-185.77,110.99,-128.67,496.05,105.68,296.23,446.43,332.39
1989-01-01 10:00:00,5.9,0.0033,0,1,1,22.00,41,0.0068,8.78,15.39,795.59,445.08,83.99,142.00,96.00,765.4,0.0,0.0,22.63,-123.2,397.8,0.00677,0.00004,6.69,11.72,11.02,7.86,11.80,12.83,14.67,13.06,14.78,14.78,10.81,4.34,15.69,27.02,4.34,237.95,-29.56,-168.32,101.54,-141.62,470.39,96.69,277.41,415.43,299.72
1989-01-01 11:00:00,7.7,0.0028,0,1,1,22.00,42,0.0069,8.84,15.42,0.00,418.89,83.99,142.00,96.00,855.3,0.0,0.0,22.35,-68.7,0.0,0.00687,0.00004,7.21,12.13,9.85,8.35,11.30,12.66,14.53,11.62,13.37,13.37,17.05,6.14,15.69,25.13,6.14,173.45,-38.26,-65.46,56.24,-125.96,454.28,92.79,306.81,400.88,314.18
1989-01-01 12:00:00,8.5,0.0030,0,1,1,22.00,41,0.0067,9.30,15.65,0.00,269.10,163.72,142.00,96.00,1221.1,0.0,0.0,22.20,-38.4,0.0,0.00672,-0.00005,7.72,12.57,10.16,8.88,11.77,12.97,14.79,11.97,13.66,13.66,20.61,7.03,15.69,21.41,7.03,167.00,-38.30,-51.16,50.33,-127.87,438.66,88.70,299.14,385.37,300.57
1989-01-01 13:00:00,9.3,0.0026,0,1,1,22.00,41,0.0068,9.68,15.84,0.00,117.38,68.43,71.00,48.00,1190.6,0.0,0.0,22.11,-21.4,0.0,0.00678,0.00002,8.20,12.86,10.40,9.25,12.08,13.22,14.99,12.25,13.89,13.89,28.27,7.57,15.69,20.84,7.57,155.66,-37.69,-40.29,48.72,-126.41,424.05,85.92,292.99,374.57,291.24
1989-01-01 14:00:00,9.8,0.0026,0,0,1,22.00,41,0.0068,10.23,16.11,200.84,66.93,0.00,0.00,0.00,1275.3,0.0,0.0,22.29,-56.3,100.4,0.00678,0.00000,8.70,13.33,11.06,9.66,12.81,13.65,15.33,13.04,14.60,14.60,23.50,8.33,15.69,14.68,8.33,162.13,-36.10,-49.59,58.88,-135.31,408.54,81.57,276.19,362.33,269.92
1989-01-01 15:00:00,9.6,0.0026,0,0,1,22.00,41,0.0068,10.88,16.44,534.98,66.93,0.00,0.00,0.00,1097.1,0.0,0.0,22.76,-149.7,267.5,0.00678,0.00000,9.28,13.70,12.00,10.22,13.61,14.18,15.75,14.16,15.62,15.62,14.85,8.58,15.69,10.82,8.58,174.26,-31.39,-73.06,69.72,-139.53,390.58,78.04,252.47,346.10,246.52
1989-01-01 16:00:00,8.9,0.0033,0,1,1,22.00,42,0.0069,10.82,16.41,78.37,167.82,83.99,142.00,96.00,847.1,0.0,0.0,22.51,-100.8,39.2,0.00688,0.00004,9.70,13.35,11.25,10.48,12.72,13.98,15.59,13.22,14.72,14.72,13.53,7.74,15.69,8.67,7.74,116.07,-30.37,-19.84,36.21,-102.08,377.96,81.38,271.57,338.30,272.50
1989-01-01 17:00:00,7.9,0.0033,0,1,1,22.00,40,0.0066,10.91,16.46,0.00,269.10,124.78,213.00,144.00,1348.7,0.0,0.0,22.29,-56.3,0.0,0.00663,-0.00009,10.00,13.09,11.18,10.77,12.38,14.01,15.61,13.12,14.62,14.62,6.85,6.79,15.69,6.85,6.79,92.96,-26.46,-8.67,20.85,-78.68,368.50,83.81,273.23,329.97,282.61
1989-01-01 18:00:00,6.9,0.0035,0,1,1,22.00,40,0.0066,11.02,16.51,0.00,269.10,136.82,213.00,144.00,1440.6,0.0,192.7,22.16,-31.4,0.0,0.00657,-0.00002,10.27,12.82,11.24,10.99,12.11,14.06,15.65,13.18,14.66,14.66,5.60,5.74,15.69,5.60,5.74,76.44,-21.94,-7.40,10.95,-58.04,360.37,86.35,271.77,323.23,290.40
1989-01-01 19:00:00,6.4,0.0036,0,1,1,22.00,42,0.0068,11.14,16.57,0.00,167.82,190.78,284.00,192.00,659.7,0.0,0.0,22.09,-17.5,0.0,0.00678,0.00007,10.49,12.73,11.32,11.22,12.03,14.14,15.72,13.27,14.74,14.74,5.15,5.29,15.69,5.15,5.29,66.98,-19.37,-4.73,3.70,-46.58,353.64,87.15,269.67,316.63,292.70
1989-01-01 20:00:00,6.4,0.0037,0,1,0,18.87,51,0.0069,10.92,14.90,200.79,269.10,83.99,142.00,96.00,0.0,0.0,0.0,20.89,-397.2,100.4,0.00689,0.00004,10.52,11.70,10.94,11.29,11.41,13.11,14.27,12.78,13.86,13.86,5.15,5.29,15.69,5.15,5.29,42.07,-9.12,8.55,-16.99,-24.50,256.70,67.48,200.43,222.75,219.17
1989-01-01 21:00:00,6.4,0.0037,0,1,0,18.67,52,0.0070,11.27,14.97,549.49,269.10,83.99,167.01,70.99,0.0,0.0,0.0,20.53,-365.5,274.7,0.00697,0.00003,10.70,11.83,11.67,11.59,11.98,13.39,14.45,13.67,14.65,14.65,5.15,5.29,15.69,5.15,5.29,65.45,-4.78,-22.38,-7.14,-31.15,244.87,64.32,176.69,208.00,196.58
1989-01-01 22:00:00,6.2,0.0036,0,1,0,17.49,57,0.0070,10.87,14.18,158.93,242.91,83.99,84.32,34.68,0.0,0.0,0.0,19.36,-368.6,79.5,0.00701,0.00001,10.71,11.18,10.61,11.56,10.93,12.65,13.62,12.37,13.27,13.27,4.95,5.09,15.69,4.95,5.09,15.38,-3.83,31.38,-40.75,-2.18,208.10,59.30,173.64,174.25,192.60
1989-01-01 23:00:00,6.1,0.0035,0,0,0,15.13,66,0.0070,10.41,12.77,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,17.49,-464.0,0.0,0.00701,0.00000,10.63,10.21,9.65,11.41,9.89,11.58,12.29,11.19,11.85,11.85,4.85,4.99,15.69,4.85,4.99,-28.56,1.14,71.69,-69.03,24.77,138.40,46.35,138.61,109.40,154.04
